Unnamed: 0,Date,Adjustment,Afternoon with the baker,Alfajores,Argentina Night,Art Tray,Bacon,Baguette,Bakewell,Bare Popcorn,Basket,Bowl Nic Pitt,Bread,Bread Pudding,Brioche and salami,Brownie,Cake,Caramel bites,Cherry me Dried fruit,Chicken sand,Chicken Stew,Chimichurri Oil,Chocolates,Christmas common,Coffee,Coffee granules ,Coke,Cookies,Crepes,Crisps,Drinking chocolate spoons ,Duck egg,Dulce de Leche,Eggs,Ella's Kitchen Pouches,Empanadas,Extra Salami or Feta,Fairy Doors,Farm House,Focaccia,Frittata,Fudge,Gift voucher,Gingerbread syrup,Granola,Hack the stack,Half slice Monster ,Hearty & Seasonal,Honey,Hot chocolate,Jam,Jammie Dodgers,Juice,Keeping It Local,Kids biscuit,Lemon and coconut,Medialuna,Mighty Protein,Mineral water,Mortimer,Muesli,Muffin,My-5 Fruit Shoot,Nomad bag,Olum & polenta,Panatone,Pastry,Pick and Mix Bowls,Pintxos,Polenta,Postcard,Raspberry shortbread sandwich,Raw bars,Salad,Sandwich,Scandinavian,Scone,Siblings,Smoothies,Soup,Spanish Brunch,Spread,Tacos/Fajita,Tartine,Tea,The BART,The Nomad,Tiffin,Toast,Truffles,Tshirt,Valentine's card,Vegan Feast,Vegan mincepie,Victorian Sponge
51,2016-12-19,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,5,0,0,0,0,0,0,0,42,0,2,6,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,2,0,5,1,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,16,0,0,0,2,3,0,0,0,0,0
52,2016-12-20,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,8,0,0,0,0,0,0,0,32,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,5,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0
53,2016-12-21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,9,0,0,0,0,0,0,0,41,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,1,0,1,0,0,0,4,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0
54,2016-12-22,0,0,0,0,1,0,0,0,1,0,0,21,0,0,5,10,0,0,0,0,0,0,0,23,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,5,3,0,3,0,0,0,4,0,1,0,0,4,0,0,0,2,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,1,0,1,1,0,0,0,0,0
55,2016-12-23,0,0,0,0,0,0,0,0,0,0,0,26,0,1,5,10,0,0,0,0,0,0,0,33,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,3,0,0,0,0,0,9,2,0,3,0,0,0,5,0,0,0,0,4,0,0,0,1,5,0,0,0,0,0,0,0,5,1,8,0,1,0,0,0,0,0,9,0,1,0,1,1,0,0,0,0,0
56,2016-12-24,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,8,0,0,0,0,0,0,0,38,0,4,5,0,1,0,0,0,0,0,0,0,0,5,5,2,3,0,1,0,0,0,0,0,14,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,7,3,7,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0
56,2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2016-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2016-12-27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
58,2016-12-28,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,5,0,0,0,0,0,0,0,34,0,1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0
59,2016-12-29,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,8,0,0,0,0,0,0,0,43,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,9,1,3,4,0,0,1,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,5,0,0,0,6,1,0,0,0,0,0
60,2016-12-30,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,0,0,29,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,7,0,4,1,0,0,1,5,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,9,0,1,0,2,0,0,0,0,2,0
61,2016-12-31,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,27,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,2,0
62,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2017-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2017-01-03,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,0,0,34,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0
64,2017-01-04,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,5,0,0,0,0,0,0,0,26,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
65,2017-01-05,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,1,0,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,1,1,0,0,0,2,0,3,1,0,0,0,0,0,0,0,4,0,0,6,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,1,0
66,2017-01-06,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,29,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0
67,2017-01-07,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,5,0,0,0,0,0,0,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,0,0,0,0,0,0,5,0,4,0,0,0,0,8,0,1,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,12,7,10,0,1,0,0,0,0,0,14,0,0,1,2,5,0,0,0,0,0
68,2017-01-08,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4,0,2,1,0,0,0,5,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,0,0,5,0,4,6,0,2,0,0,0,2,0
69,2017-01-09,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,28,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,9,0,1,0,2,0,0,0,0,0,0
70,2017-01-10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,0,18,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0
71,2017-01-11,0,2,1,0,1,0,0,0,0,0,0,17,0,0,0,7,0,0,0,0,0,0,0,27,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0
72,2017-01-12,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,23,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,6,0,0,0,0,1,0
73,2017-01-13,0,0,3,0,0,0,0,0,0,0,0,15,0,0,1,6,0,0,0,0,0,0,0,32,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,3,3,5,0,0,0,0,0,0,0,9,0,0,1,5,2,0,0,0,2,0
74,2017-01-14,0,3,6,0,0,0,0,0,0,0,0,29,0,0,5,11,0,0,0,0,0,0,0,46,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,7,0,9,0,0,2,0,0,0,8,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,13,0,0,9,7,1,0,0,0,0,0
75,2017-01-15,0,0,4,0,0,0,0,0,0,0,0,29,0,1,2,6,0,0,0,0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,2,0,1,0,6,3,0,0,0,4,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,6,0,2,2,2,2,0,0,0,0,0
76,2017-01-16,0,1,2,0,0,0,0,0,0,0,0,18,0,0,1,1,0,0,0,0,0,0,0,16,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0
77,2017-01-17,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,1,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,6,1,0,0,1,1,0,0,0,0,8,0,0,0,3,3,0,0,0,0,0
78,2017-01-18,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,16,0,3,5,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,4,1,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
79,2017-01-19,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,7,0,0,0,3,0,0,0,31,0,1,2,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,7,0,1,3,0,0,0,5,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,6,1,0,0,0,2,1,0,0,0,9,0,0,4,2,1,0,0,0,0,0
80,2017-01-20,0,1,1,0,0,0,0,0,0,0,0,22,0,0,1,4,0,0,0,2,0,0,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,5,0,0,0,0,7,0,0,0,0,1,0,1,7,3,5,0,1,0,0,0,0,0,13,0,0,1,4,1,0,0,0,1,0
81,2017-01-21,0,3,3,0,0,0,0,0,0,0,0,27,0,0,8,18,0,0,0,0,0,0,0,43,0,1,4,0,0,0,1,0,0,0,0,2,0,2,0,4,2,0,0,1,0,0,0,0,9,1,4,4,0,0,0,7,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,5,5,9,0,1,0,4,0,0,0,11,0,0,6,3,1,0,0,0,0,0
82,2017-01-22,0,2,6,0,0,0,0,0,0,0,0,26,0,0,1,11,0,0,0,0,0,0,0,42,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,6,0,6,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,5,0,6,0,3,5,1,0,0,0,12,0,2,2,6,1,0,0,0,0,0
83,2017-01-23,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,18,0,0,0,1,0,0,0,29,0,1,6,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,5,1,0,0,0,10,0,0,0,4,0,0,0,0,0,0
84,2017-01-24,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,7,0,0,0,5,0,0,0,28,0,2,3,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,2,1,5,0,0,0,3,3,0,0,0,9,0,0,0,0,2,0,0,0,1,0
85,2017-01-25,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,4,0,0,0,1,0,0,0,11,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,0,0,3,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0
86,2017-01-26,0,0,0,0,1,0,3,0,0,0,0,19,0,0,0,6,0,0,0,2,0,0,0,27,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,4,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,12,0,0,0,1,0,0,0,0,0,0
87,2017-01-27,0,0,0,0,0,0,1,2,0,0,0,23,0,0,2,8,0,0,0,1,0,0,0,43,0,0,10,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,4,1,5,0,0,10,2,0,0,0,14,0,1,0,3,3,0,0,0,0,0
88,2017-01-28,0,0,1,0,0,0,4,5,0,0,0,42,0,0,8,8,0,0,0,1,0,0,0,56,0,1,2,0,0,0,0,0,1,0,0,2,0,3,4,5,0,0,1,0,0,0,0,0,10,3,0,6,0,0,0,7,0,1,0,0,4,0,0,0,0,7,0,0,0,0,0,0,3,7,4,11,0,1,1,1,0,0,0,20,0,2,0,3,0,0,1,0,1,0
89,2017-01-29,0,0,1,0,0,0,5,2,0,0,0,22,0,0,3,6,0,0,0,2,0,0,0,31,0,0,7,0,0,0,0,0,0,0,0,1,0,3,0,2,1,0,0,2,0,0,0,0,6,1,0,2,0,0,0,10,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,2,5,0,3,0,1,2,4,0,0,0,8,0,1,0,2,1,0,0,0,0,0
90,2017-01-30,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,3,0,0,0,1,0,0,0,20,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
91,2017-01-31,0,0,0,0,0,0,4,1,0,0,0,17,0,0,4,11,0,0,0,1,0,0,0,29,0,3,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,5,1,0,0,0,2,2,0,0,0,11,0,1,0,3,0,0,0,0,0,0
92,2017-02-01,0,0,3,0,0,0,3,1,0,0,0,33,0,0,1,9,0,0,0,1,0,0,0,33,0,3,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,6,0,0,0,2,1,0,0,0,1,0
93,2017-02-02,0,0,5,0,0,0,2,0,2,0,0,25,0,0,1,11,0,0,0,2,0,0,0,23,0,2,5,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,3,1,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,6,1,0,0,0,3,2,0,0,0,8,0,0,0,1,0,0,1,0,0,0
94,2017-02-03,0,1,4,0,0,0,2,0,0,0,0,29,0,0,0,5,0,0,0,1,0,0,0,31,0,1,4,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,3,3,0,0,7,0,0,0,0,9,0,0,0,7,4,0,0,0,0,0
95,2017-02-04,0,0,4,0,0,0,3,0,0,0,0,31,0,0,8,25,0,0,0,2,0,0,0,72,0,4,7,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,1,0,0,0,0,8,1,0,5,0,0,0,1,0,2,0,0,0,0,1,0,0,11,0,0,0,10,0,0,4,12,5,6,0,1,4,3,0,0,0,15,0,1,0,3,7,21,5,1,0,0
96,2017-02-05,0,0,8,0,0,0,2,0,0,0,0,22,0,0,2,9,0,0,0,2,0,0,0,55,0,1,9,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,10,2,5,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
97,2017-02-06,0,0,2,0,0,0,2,0,0,0,0,22,0,0,6,7,0,0,0,1,0,0,0,36,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,1,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,3,0,0,3,2,0,0,0,11,0,0,0,3,4,0,0,0,0,0
98,2017-02-07,0,0,5,0,0,0,3,0,0,0,0,17,0,0,3,10,0,0,0,3,0,1,0,28,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,2,1,0,0,1,2,2,0,0,0,8,0,0,0,1,1,0,0,0,0,0
99,2017-02-08,0,0,4,0,1,0,1,0,0,0,0,20,0,0,4,4,0,0,0,2,0,2,0,26,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,5,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
100,2017-02-09,0,0,3,0,0,0,2,0,0,0,0,18,0,0,3,5,0,0,0,2,0,0,0,27,0,2,10,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,4,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,2,0,0,0,7,0,0,0,0,6,0,0,0,4,0,0,2,0,0,0
101,2017-02-10,0,1,3,0,0,0,2,0,0,0,0,23,0,0,2,11,0,0,0,3,0,0,0,36,0,1,9,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,4,3,3,0,0,6,3,0,0,0,7,0,1,0,2,3,0,1,0,0,0
102,2017-02-11,0,1,3,0,1,0,3,0,0,0,0,36,0,0,3,16,0,0,0,4,0,0,0,38,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,3,4,3,0,0,5,3,0,0,0,19,0,3,0,5,1,0,1,0,0,0
103,2017-02-12,0,2,2,0,0,0,3,0,0,0,0,22,0,0,5,10,0,0,0,1,0,0,0,33,0,0,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,4,0,0,1,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0
